Latitude: 40.0067361, Longitude: -105.26346869999999, Altitude: 1622.662
Latitude: 40.0067393, Longitude: -105.2634755, Altitude: 1623.498
Latitude: 40.0067427, Longitude: -105.2634758, Altitude: 1624.232
Latitude: 40.0067504, Longitude: -105.26346629999999, Altitude: 1623.887
Latitude: 40.0067557, Longitude: -105.2634606, Altitude: 1624.23
Latitude: 40.0067582, Longitude: -105.263459, Altitude: 1624.336
Latitude: 40.006765099999996, Longitude: -105.2634647, Altitude: 1624.182
Latitude: 40.006785099999995, Longitude: -105.26347419999999, Altitude: 1623.2060000000001
Latitude: 40.0067891, Longitude: -105.2634819, Altitude: 1622.6190000000001
Latitude: 40.006783899999995, Longitude: -105.2634959, Altitude: 1621.766
Latitude: 40.006774, Longitude: -105.2634977, Altitude: 1622.733
Latitude: 40.006771799999996, Longitude: -105.26350939999999, Altitude: 1622.63
Latitude: 40.006766999999996, Longitude: -105.2635188, Altitude: 1622.228
Latitude: 40.0067637, Longitude: -105.2635152, Altitude: 1622.532
Latitude: 40.0067589, Longitude: -105.26352059999999, Altitude: 1622.57
Latitude: 40.0067494, Longitude: -105.26351389999999, Altitude: 1622.6380000000001
Latitude: 40.0067363, Longitude: -105.2635116, Altitude: 1622.73
Latitude: 40.0067265, Longitude: -105.263519, Altitude: 1621.8500000000001
Latitude: 40.0067149, Longitude: -105.2635208, Altitude: 1621.801
Latitude: 40.006702499999996, Longitude: -105.2635219, Altitude: 1622.266
Latitude: 40.00669, Longitude: -105.26352299999999, Altitude: 1622.731
Latitude: 40.0067021, Longitude: -105.26343, Altitude: 1620.589
Latitude: 40.0067023, Longitude: -105.2633747, Altitude: 1619.895
Latitude: 40.006707399999996, Longitude: -105.2633525, Altitude: 1620.253
Latitude: 40.0067126, Longitude: -105.26333029999999, Altitude: 1620.612
Latitude: 40.0067106, Longitude: -105.26327169999999, Altitude: 1619.733
Latitude: 40.006706099999995, Longitude: -105.26321569999999, Altitude: 1618.659
Latitude: 40.006698799999995, Longitude: -105.2631603, Altitude: 1617.114
Latitude: 40.0067015, Longitude: -105.2631294, Altitude: 1616.878
Latitude: 40.0067042, Longitude: -105.2630985, Altitude: 1616.642
Latitude: 40.006707, Longitude: -105.2630676, Altitude: 1616.407
Latitude: 40.006694599999996, Longitude: -105.26308, Altitude: 1614.176
Latitude: 40.0066851, Longitude: -105.26307829999999, Altitude: 1612.615
Latitude: 40.0066846, Longitude: -105.26305629999999, Altitude: 1611.9660000000001
Latitude: 40.006684, Longitude: -105.2630344, Altitude: 1611.316
Latitude: 40.0066835, Longitude: -105.2630124, Altitude: 1610.6670000000001
Latitude: 40.006682999999995, Longitude: -105.2629905, Altitude: 1610.017
Latitude: 40.006682399999995, Longitude: -105.2629686, Altitude: 1609.368
Latitude: 40.0066819, Longitude: -105.26294659999999, Altitude: 1608.719
Latitude: 40.0066813, Longitude: -105.2629247, Altitude: 1608.069
Latitude: 40.0066808, Longitude: -105.2629027, Altitude: 1607.42
Latitude: 40.0066026, Longitude: -105.26292459999999, Altitude: 1605.713
Latitude: 40.0065962, Longitude: -105.2629068, Altitude: 1604.951
Latitude: 40.0065898, Longitude: -105.2628889, Altitude: 1604.19
Latitude: 40.0065834, Longitude: -105.2628711, Altitude: 1603.429
Latitude: 40.006577, Longitude: -105.26285329999999, Altitude: 1602.6680000000001
Latitude: 40.006570599999996, Longitude: -105.2628355, Altitude: 1601.907
Latitude: 40.0065642, Longitude: -105.26281759999999, Altitude: 1601.145
Latitude: 40.006557799999996, Longitude: -105.2627998, Altitude: 1600.384
Latitude: 40.0065514, Longitude: -105.262782, Altitude: 1599.623
Latitude: 40.006544999999996, Longitude: -105.2627641, Altitude: 1598.862
Latitude: 40.0065386, Longitude: -105.26274629999999, Altitude: 1598.101
Latitude: 40.006532199999995, Longitude: -105.2627285, Altitude: 1597.339
Latitude: 40.0065258, Longitude: -105.2627107, Altitude: 1596.578
Latitude: 40.006519399999995, Longitude: -105.2626928, Altitude: 1595.817
Latitude: 40.006513, Longitude: -105.262675, Altitude: 1595.056
Latitude: 40.0065066, Longitude: -105.26265719999999, Altitude: 1594.295
Latitude: 40.0065002, Longitude: -105.2626394, Altitude: 1593.5330000000001
Latitude: 40.0064938, Longitude: -105.2626215, Altitude: 1592.772
Latitude: 40.0064874, Longitude: -105.2626037, Altitude: 1592.011
Latitude: 40.006481, Longitude: -105.26258589999999, Altitude: 1591.25
Latitude: 40.0064746, Longitude: -105.2625681, Altitude: 1590.488
Latitude: 40.0064682, Longitude: -105.26255019999999, Altitude: 1589.727
Latitude: 40.0064682, Longitude: -105.26255019999999, Altitude: 1589.727
Latitude: 40.0064682, Longitude: -105.26255019999999, Altitude: 1589.727
Latitude: 40.0064682, Longitude: -105.26255019999999, Altitude: 1589.727
Latitude: 40.0064682, Longitude: -105.26255019999999, Altitude: 1589.727
Latitude: 40.0064682, Longitude: -105.26255019999999, Altitude: 1589.727
Latitude: 40.0064682, Longitude: -105.26255019999999, Altitude: 1589.727
Latitude: 40.0064682, Longitude: -105.26255019999999, Altitude: 1589.727
Latitude: 40.0064682, Longitude: -105.26255019999999, Altitude: 1589.727
Latitude: 40.0064682, Longitude: -105.26255019999999, Altitude: 1589.727
Latitude: 40.0064682, Longitude: -105.26255019999999, Altitude: 1589.727
Latitude: 40.0064682, Longitude: -105.26255019999999, Altitude: 1589.727
Latitude: 40.0064682, Longitude: -105.26255019999999, Altitude: 1589.727
Latitude: 40.0064682, Longitude: -105.26255019999999, Altitude: 1589.727
Latitude: 40.0064682, Longitude: -105.26255019999999, Altitude: 1589.727
Latitude: 40.006603, Longitude: -105.26333439999999, Altitude: 1709.874
Latitude: 40.0068299, Longitude: -105.2632951, Altitude: 1701.489
Latitude: 40.0067914, Longitude: -105.2632936, Altitude: 1687.815
Latitude: 40.0068452, Longitude: -105.2633334, Altitude: 1694.652
Latitude: 40.006358999999996, Longitude: -105.2631541, Altitude: 1576.237
Latitude: 40.0062985, Longitude: -105.26314459999999, Altitude: 1561.336
Latitude: 40.0062882, Longitude: -105.26314099999999, Altitude: 1557.414
